a,b,c,d
-791,433,-2141,1172
-792,701,-2141,1895
-1585,888,-4282,2399
-794,425,-2141,1146
-1589,1340,-4282,3611
-6369,3730,-17128,10031
-797,424,-2141,1139
-1615,1113,-4282,2951
-2426,925,-6423,2449
-3245,1344,-8564,3547
-2440,1847,-6423,4862
-4067,2531,-10705,6662
-814,503,-2141,1323
-817,535,-2141,1402
-2452,1067,-6423,2795
-818,507,-2141,1327
-819,692,-2141,1809
-2459,1080,-6423,2821
-821,385,-2141,1004
-1643,1031,-4282,2687
-1653,1360,-4282,3523
-7441,4315,-19269,11174
-827,737,-2141,1908
-828,449,-2141,1161
-829,472,-2141,1219
-7466,2911,-19269,7513
-830,371,-2141,957
-831,602,-2141,1551
-4176,2545,-10705,6524
-2516,1031,-6423,2632
-2518,1859,-6423,4742
-840,461,-2141,1175
-874,725,-2141,1776
-875,461,-2141,1128
-2630,1687,-6423,4120
-878,691,-2141,1685
-1769,1215,-4282,2941
-7963,6217,-19269,15044
-6194,4745,-14987,11481
-885,656,-2141,1587
-888,725,-2141,1748
-890,641,-2141,1542
-6266,4413,-14987,10555
-896,629,-2141,1503
-897,380,-2141,907
-899,574,-2141,1367
-1805,1018,-4282,2415
-1807,1009,-4282,2391
-923,510,-2141,1183
-929,778,-2141,1793
-1859,1269,-4282,2923
-930,791,-2141,1821
-1867,1080,-4282,2477
-8405,5944,-19269,13627
-1869,1522,-4282,3487
-4696,2897,-10705,6604
-1879,1524,-4282,3473
-944,597,-2141,1354
-1891,1093,-4282,2475
-2840,2087,-6423,4720
-961,667,-2141,1486
-1923,1504,-4282,3349
-966,587,-2141,1301
-969,611,-2141,1350
-977,721,-2141,1580
-2933,1843,-6423,4036
-4892,3017,-10705,6602
-980,601,-2141,1313
-983,719,-2141,1566
-1969,1368,-4282,2975
-2956,2123,-6423,4613
-991,723,-2141,1562
-995,626,-2141,1347
-1010,601,-2141,1274
-1013,599,-2141,1266
-1123,877,-2141,1672
-1137,701,-2141,1320
-4727,2884,-8564,5225
-1184,725,-2141,1311
-3602,2223,-6423,3964
-8415,5333,-14987,9498
-8416,4931,-14987,8781
-1203,917,-2141,1632
-1208,1085,-2141,1923
-4833,3548,-8564,6287
-2417,1966,-4282,3483
-1214,791,-2141,1395
-2429,1438,-4282,2535
-2431,1555,-4282,2739
-1228,729,-2141,1271
-3688,2647,-6423,4610
-1232,965,-2141,1677
-1234,717,-2141,1244
-1236,941,-2141,1630
-2473,2000,-4282,3463
-1241,1019,-2141,1758
-2507,1846,-4282,3153
-5017,3116,-8564,5319
-1257,920,-2141,1567
-1261,887,-2141,1506
-1262,1061,-2141,1800
-2543,1553,-4282,2615
-3817,2925,-6423,4922
-1276,1009,-2141,1693
-1295,1021,-2141,1688
-1297,1025,-2141,1692
-1298,833,-2141,1374
-1304,941,-2141,1545
-3920,2487,-6423,4075
-1315,1116,-2141,1817
-9244,6799,-14987,11023
-7981,5453,-12846,8777
-5321,4033,-8564,6491
-2661,2203,-4282,3545
-2663,1834,-4282,2949
-2699,1913,-4282,3035
-13571,10737,-21410,16939
-2715,1918,-4282,3025
-6842,4373,-10705,6842
-4106,3445,-6423,5389
-1373,935,-2141,1458
-1380,1001,-2141,1553
-1382,1067,-2141,1653
-1388,1141,-2141,1760
-4390,3157,-6423,4619
-1492,1069,-2141,1534
-1493,1205,-2141,1728
-1496,1053,-2141,1507
-1515,1106,-2141,1563
-4609,3519,-6423,4904
-1538,1311,-2141,1825
-1543,1334,-2141,1851
-1549,1201,-2141,1660
-3099,2431,-4282,3359
-1574,1227,-2141,1669
-1636,1325,-2141,1734
-1650,1361,-2141,1766
-1651,1277,-2141,1656
-1770,1541,-2141,1864
